title,price
a light in the attic,51.77
tipping the velvet,53.74
soumission,50.1
sharp objects,47.82
sapiens: a brief history of humankind,54.23
the requiem red,22.65
the dirty little secrets of getting your dream job,33.34
"the coming woman: a novel based on the life of the infamous feminist, victoria woodhull",17.93
the boys in the boat: nine americans and their epic quest for gold at the 1936 berlin olympics,22.6
the black maria,52.15
essence mascara lash princess,9.99
eyeshadow palette with mirror,19.99
powder canister,14.99
red lipstick,12.99
red nail polish,8.99
calvin klein ck one,49.99
chanel coco noir eau de,129.99
dior j'adore,89.99
dolce shine eau de,69.99
gucci bloom eau de,79.99
annibale colombo bed,1899.99
annibale colombo sofa,2499.99
bedside table african cherry,299.99
knoll saarinen executive conference chair,499.99
wooden bathroom sink with mirror,799.99
apple,1.99
beef steak,12.99
cat food,8.99
chicken meat,9.99
cooking oil,4.99
cucumber,1.49
dog food,10.99
eggs,2.99
fish steak,14.99
green bell pepper,1.29
green chili pepper,0.99
honey jar,6.99
ice cream,5.49
juice,3.99
kiwi,2.49
